07/12/2019,71.28,71.65,70.83,72.27,0.0,0.0,2542424
07/11/2019,73.77,71.74,71.48,73.78,0.0,0.0,6562456
07/10/2019,73.58,73.37,73.13,73.94,0.0,0.0,1785225
07/09/2019,73.49,73.45,73.105,74.081,0.0,0.0,2092180
07/08/2019,75.53,73.84,73.5,75.985,0.0,0.0,2217365
07/05/2019,76.34,75.75,75.3,76.47,0.0,0.0,1493127
07/03/2019,75.86,76.8,75.7,76.93,0.0,0.0,1153149
07/02/2019,75.85,75.61,75.25,76.18,0.0,0.0,1876980
07/01/2019,75.6,75.78,74.92,75.89,0.0,0.0,2756169
06/28/2019,73.26,74.67,73.1,74.7,0.0,0.0,3159736
06/27/2019,72.55,73.19,72.2,73.28,0.0,0.0,1480248
06/26/2019,72.64,72.14,72.04,73.18,0.0,0.0,1583790
06/25/2019,73.19,72.51,72.41,73.63,0.0,0.0,1340355
06/24/2019,73.33,73.14,72.26,73.68,0.0,0.0,1251576
06/21/2019,73.14,73.34,72.55,73.54,0.0,0.0,3096151
06/20/2019,73.22,73.32,72.365,73.42,0.0,0.0,2077813
06/19/2019,71.89,72.65,71.89,72.73,0.0,0.0,1916665
06/18/2019,70.8,71.91,70.57,72.22,0.0,0.0,2350398
06/17/2019,70.25,70.29,69.89,70.6,0.0,0.0,1149172
06/14/2019,70.31,69.97,69.74,70.45,0.0,0.0,1602711
06/13/2019,70.56,70.3,69.89,70.71,0.0,0.0,1886929
06/12/2019,70.08,70.29,68.93,70.29,0.0,0.0,1546794
06/11/2019,72.25,70.09,69.81,72.6,0.0,0.0,1748246
06/10/2019,69.68,70.29,69.36,70.55,0.0,0.0,1477113
06/07/2019,69.7,69.52,69.33,70.215,0.0,0.0,1547509
06/06/2019,68.52,69.16,68.52,69.675,0.0,0.0,2468975
06/05/2019,68.61,68.35,67.89,69.01,0.0,0.0,2289217
06/04/2019,67.66,67.95,66.41,68,0.0,0.0,4402784
06/03/2019,67.04,66.99,66.82,68.1,0.0,0.0,2560644
05/31/2019,66.24,67.05,66.07,67.56,0.0,0.0,2829317
05/30/2019,67.59,66.89,66.73,67.9,0.0,0.0,2947887
05/29/2019,66.59,67.3,66.59,67.99,0.0,0.0,3722106
05/28/2019,68.43,67.08,66.955,68.86,0.0,0.0,2984703
05/24/2019,68.14,68.36,68.085,69.89,0.0,0.0,3852867
05/23/2019,67.18,67.7,66.03,67.85,0.0,0.0,5358753
05/22/2019,68.17,67.97,67.51,68.64,0.0,0.0,4985412
05/21/2019,69.37,68.32,68.25,70.44,0.0,0.0,3928214
05/20/2019,68.66,68.93,68.64,69.97,0.0,0.0,4029685
05/17/2019,68.44,69.11,68.19,69.87,0.0,0.0,3935714
05/16/2019,67.6,69.3,67.6,69.42,0.0,0.0,4567668
05/15/2019,67.36,67.64,66.24,69.9,0.0,0.0,14523760
05/14/2019,74.43,76.01,74.304,76.67,0.0,0.0,2557726
05/13/2019,75.75,73.84,73.23,75.91,0.0,0.0,3547282
05/10/2019,76.64,77.1,74.09,77.14,0.0,0.0,2849795
05/09/2019,75.67,77,74.85,77.055,0.0,0.0,1717541
05/08/2019,76.78,76.61,76.13,77.3,0.0,0.0,2243580
05/07/2019,78.59,76.67,76.03,78.77,0.0,0.0,1732161
05/06/2019,77.62,79.35,77.21,79.41,0.0,0.0,1624324
05/03/2019,78.58,79.29,78.58,79.56,0.0,0.0,1303198
05/02/2019,77.41,78.2,77.1453,78.34,0.0,0.0,946764
05/01/2019,78.49,77.47,77.28,78.92,0.0,0.0,1078572
04/30/2019,77.44,78.5,77.38,78.59,0.0,0.0,1587210
04/29/2019,77.47,77.33,77.32,78.44,0.0,0.0,2035019
04/26/2019,76.98,77.42,76.3,77.46,0.0,0.0,1608922
04/25/2019,75.26,76.72,74.94,77.04,0.0,0.0,1426048
04/24/2019,75.84,75.79,75.4306,76.63,0.0,0.0,1783382
04/23/2019,74.28,75.56,73.76,76.8,0.0,0.0,4447836
04/22/2019,75.93,75.57,75.13,76.72,0.0,0.0,2016043
04/18/2019,75.73,76.17,75.31,76.54,0.0,0.0,2874140
04/17/2019,78.15,75.43,74.46,78.32,0.0,0.0,4356702
04/16/2019,80.82,77.55,77.19,80.96,0.0,0.0,3441477
04/15/2019,81,80.4,79.905,81.13,0.0,0.0,1627268
04/12/2019,81.43,80.98,80.9,82.06,0.0,0.0,1249295
